created_at,favorites,retweets,text,tweet_id,user_id,user_name,user_screen_name
1357622523000.0,7,12,Article by @MSignorile: What My Partner and I Did When an Anti-Gay Bigot Called Us 'Disgusting'http://www.huffingtonpost.com/michelangelo-signorile/what-my-partner-and-i-did_b_2424253.html …,"2,88515889295393E+017",318831260,Homophobes,318831260
1357069031000.0,8,21,The Worst Homophobic Tweets of 2012 http://storify.com/homophobes/homophobia-in-2012-the-year-as-told-through-homoph … #StopHomophobia,"2,86194379541082E+017",318831260,Homophobes,318831260
1357010682000.0,11,14,Homophobia in 2012: The Year As Told Through Tweets http://storify.com/homophobes/homophobia-in-2012-the-year-as-told-through-homoph … #HappyNewYear,"2,85949642439524E+017",318831260,Homophobes,318831260
1356904692000.0,2,14,Irish Anti-Gay Ad: It Isn’t Discrimination if Gays Aren’t Allowed to Get Married http://blog.equalitopia.com/post/39243287408/irish-anti-gay-ad-gay-marriage-discrimination …,"2,8550509102329E+017",318831260,Homophobes,318831260
1355976575000.0,26,23,Fake reporter flirts with Westboro Baptist Church memberhttp://www.youtube.com/watch?v=S8cN2pB3MCE …,"2,81612283875041E+017",318831260,Homophobes,318831260
1355854611000.0,0,18,Gay Man Sentenced to 3 Years in Prison for Sending Text Message to Another Man in Cameroonhttp://nyti.ms/SLg2gN ,"2,81100729446461E+017",318831260,Homophobes,318831260
1355814266000.0,1,11,James Dobson: Connecticut Shooting Linked To Gay Marriagehttp://www.huffingtonpost.com/2012/12/17/james-dobson-connecticut-shooting-gay-marriage_n_2318015.html …,"2,8093151051162E+017",318831260,Homophobes,318831260
1354734833000.0,2,20,"Colombian Politician Says Gay Marriage Would Lead To Necrophilia, Bestiality http://www.huffingtonpost.com/2012/12/05/gay-marriage-in-colombia-necrophilia_n_2244175.html … #WTF","2,76404039460209E+017",318831260,Homophobes,318831260
1354209406000.0,19,21,BREAKING: Scientific research reveals cure for homophobia http://www.youtube.com/watch?v=t35GTsTBFnE … (via @mikelondoncan),"2,74200238976291E+017",318831260,Homophobes,318831260
1354153297000.0,23,31,WIN: Florida student strips in front of homophobic preacherhttp://www.youtube.com/watch?v=6lT5ruEFtxc …,"2,73964904199889E+017",318831260,Homophobes,318831260
1353975467000.0,2,30,Woman brutally beaten by girlfriend's disapproving brother on Thanksgiving Day http://www.gaystarnews.com/article/woman-brutally-beaten-girlfriends-disapproving-brother-thanksgiving-day261112 … #StopHomophobia,"2,7321902889658E+017",318831260,Homophobes,318831260
1352940943000.0,21,48,http://youhatefaggots.tumblr.com  (via @darren_scott),"2,688799224482E+017",318831260,Homophobes,318831260
1352760383000.0,22,29,"Watch out, @homophobes! Gay men will marry your girlfriends! http://www.collegehumor.com/video/6846855/gay-men-will-marry-your-girlfriends …","2,68122599463211E+017",318831260,Homophobes,318831260
1352754610000.0,15,32,UPS to no longer donate to homophobic Boy Scouts of America http://www.gaystarnews.com/article/united-parcel-service-no-longer-donate-boy-scouts-america121112 …,"2,68098382193644E+017",318831260,Homophobes,318831260
1352594302000.0,122,139,You know you're doing something right when the Saudi Arabian government censors your Twitter profile.pic.twitter.com/mtw379vv,"2,67426002983059E+017",318831260,Homophobes,318831260
1352333491000.0,6,18,Homophobe of the day: https://www.youtube.com/watch?v=uTo8SN-MLIQ …,"2,66332081569808E+017",318831260,Homophobes,318831260
1352307927000.0,50,222,40 Biggest Homophobes on Twitter During Election Night http://storify.com/homophobes/40-biggest-homophobes-on-twitter-during-election-n … #Election2012 #Obama2012 #StopHomophobia,"2,66224861372883E+017",318831260,Homophobes,318831260
1352275621000.0,40,176,40 Biggest Homophobes on Twitter During Election Night http://storify.com/homophobes/40-biggest-homophobes-on-twitter-during-election-n … #Election2012,"2,66089357641908E+017",318831260,Homophobes,318831260
1351530423000.0,10,91,Homophobe of the day: The Christian religious leader who blames Hurricane #Sandy on homosexuality and marriage equality http://thinkprogress.org/lgbt/2012/10/29/1104901/anti-gay-preacher-blames-hurricane-sandy-on-homosexuality-and-marriage-equality/ …,"2,62963770194817E+017",318831260,Homophobes,318831260
1350589221000.0,4,22,"With almost 100 mentions per minute, #SignsYoSonIsGay has become a trending topic for many users. http://topsy.com/s?q=%23SignsYoSonIsGay … #StopHomophobia","2,59016083057545E+017",318831260,Homophobes,318831260
1350359350000.0,6,32,Do gay people need separate public restrooms? Here are 25 homophobes who think so:  http://storify.com/homophobes/25-tweets-claiming-gays-should-have-their-own-rest … #StopHomophobia,"2,58051933753971E+017",318831260,Homophobes,318831260
1350319544000.0,2,32,25 Tweets Claiming Gays Should Have Their Own Restrooms http://storify.com/homophobes/25-tweets-claiming-gays-should-have-their-own-rest …,"2,57884977574863E+017",318831260,Homophobes,318831260
1349977623000.0,15,191,Happy National Coming Out Day! Here are 100 real tweets from homophobes who would murder their gay child: http://storify.com/homophobes/100-homophobes-who-would-kill-their-gay-child …,"2,56450858034811E+017",318831260,Homophobes,318831260
1349478105000.0,58,106,"""I am not gay, although I wish I were, just to piss off @homophobes."" —Kurt Cobain","2,5435572464008E+017",318831260,Homophobes,318831260
1349375986000.0,1,15,"Homophobe of the day: The individual(s) who painted ""LEAVE OR DIE FAGS"" on a Texas gay couple's porchhttp://www.connectamarillo.com/news/story.aspx?id=808278 …","2,53927407160025E+017",318831260,Homophobes,318831260
1348727780000.0,0,4,POLL: Would you like to see @homophobes retweet more or less frequently? http://gopollgo.com/at-homophobes-retweets-about-2-3-tweets-per-day-would-you-like-to-see-at-homophobes-retweet-more-or-less-frequently …,"2,5120863658247E+017",318831260,Homophobes,318831260
1348701729000.0,10,42,"Homophobic language isn't always meant to be hurtful, but how often do we use it without thinking? http://nohomophobes.com  #NoHomophobes","2,51099370815103E+017",318831260,Homophobes,318831260
1348262770000.0,20,33,#FollowFriday @ParisHilton @MittRomney @NOMupdate @SarahPalinUSA @RickSantorum @ExodusIntl @MeganPhelps @ChickfilA @BoyScouts @SalvationArmy,"2,49258242503492E+017",318831260,Homophobes,318831260
1348162861000.0,5,35,"Paris Hilton: ""Gay guys are the horniest people in the world…they're disgusting. Dude, most of them probably have AIDS""http://www.tmz.com/2012/09/20/paris-hilton-gay-audio-disgusting-aids/ …","2,48839194431082E+017",318831260,Homophobes,318831260
1347994747000.0,0,2,The new @homophobes Twitter profile is SO gay (but not in the bad way!): https://twitter.com/homophobes ,"2,48134072201798E+017",318831260,Homophobes,318831260
1347400865000.0,3,11,"At @FranciscanU, you can take a course about ""deviant behaviors"" such as murder, rape, prostitution, and homosexuality.http://www.huffingtonpost.com/2012/09/11/franciscan-university-deviant-behavior_n_1874760.html …","2,45643151430255E+017",318831260,Homophobes,318831260
